SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:07
Date and Time Ended,2019-Sep-27 19:55:11
Scan Name,Scan Tx0-Rx0 Link 7 
Link Settings,
Reset RX After Applying Settings,false
Open Area,6136
Horizontal Opening,36
Horizontal Percentage,55.38
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.248993,0.245855,0.241363,0.23459,0.219621,0.20287,0.179962,0.149979,0.119729,0.0893334,0.0644421,0.045219,0.0284085,0.0173007,0.00961307,0.00491255,0.00232471,0.00112249,0.000480468,0.000184443,7.62951e-05,2.37469e-05,9.25078e-06,2.47959e-06,1.43053e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.33516e-06,3.71939e-06,1.43053e-05,3.32837e-05,0.000108148,0.000254158,0.000711929,0.00178244,0.00417763,0.00918681,0.0189785,0.035104,0.0572939,0.0853143,0.115184,0.148296,0.182447,0.208127,0.228186,0.240937,0.247339,0.249752,0.25021,0.250669
112,0.246595,0.24265,0.237033,0.225796,0.205516,0.181638,0.156036,0.126106,0.0962165,0.0699801,0.0472645,0.0311715,0.0188042,0.011045,0.00589685,0.00276246,0.00117962,0.000543507,0.000207237,6.95239e-05,2.25071e-05,8.5832e-06,2.28885e-06,7.62951e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.14443e-06,3.71939e-06,1.40192e-05,3.70031e-05,0.000112821,0.000313764,0.000879206,0.00233263,0.00536631,0.0117825,0.0243154,0.043302,0.0682656,0.0968536,0.131449,0.164694,0.194581,0.219034,0.235805,0.24468,0.24854,0.249145,0.251593
104,0.244972,0.237721,0.228951,0.212445,0.19042,0.164694,0.132899,0.105159,0.0770927,0.0524717,0.0339968,0.0215338,0.0127627,0.00666255,0.00328136,0.00152924,0.000597105,0.000237469,8.12543e-05,2.88968e-05,8.01099e-06,2.09812e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,3.91012e-06,1.57359e-05,4.67308e-05,0.000132849,0.000413901,0.00120079,0.00310817,0.0075257,0.0160556,0.0312858,0.0535277,0.0803755,0.112774,0.147336,0.178317,0.207389,0.228951,0.240513,0.247339,0.249905,0.253305
96,0.242938,0.234054,0.22033,0.199899,0.172897,0.145092,0.117598,0.0859047,0.0601018,0.0385319,0.0237583,0.0146508,0.00785927,0.00390478,0.00178149,0.000745403,0.000279526,9.47967e-05,2.93736e-05,5.91287e-06,2.00275e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.14443e-06,4.67308e-06,1.79294e-05,5.49325e-05,0.000195888,0.000589189,0.00170253,0.00420815,0.0103574,0.021611,0.0387616,0.0644623,0.0955432,0.128763,0.162925,0.194581,0.217985,0.235941,0.246002,0.25021,0.256477
88,0.238413,0.225423,0.207705,0.184253,0.154098,0.125527,0.096534,0.068277,0.0463027,0.0282439,0.0164522,0.00916645,0.00481603,0.00222295,0.000922885,0.000341516,0.000119211,3.88151e-05,1.29702e-05,3.14717e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.62127e-06,5.5314e-06,2.26978e-05,7.40063e-05,0.000281815,0.000862325,0.00242132,0.00637014,0.0146273,0.0279262,0.0498714,0.0795946,0.112095,0.144835,0.178472,0.20781,0.228568,0.24265,0.251439,0.25973
80,0.233121,0.217291,0.194212,0.165225,0.13754,0.107223,0.0764167,0.0537595,0.0338731,0.0200418,0.0111497,0.00575952,0.00282511,0.00120527,0.000468738,0.000160792,5.42649e-05,1.26841e-05,3.24254e-06,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.67033e-06,9.72763e-06,3.31884e-05,0.000131418,0.000449664,0.00137512,0.0038426,0.00972445,0.0197738,0.0382977,0.063336,0.0950995,0.129783,0.164628,0.195791,0.219269,0.239249,0.251903,0.264254
72,0.22592,0.205207,0.176397,0.148511,0.11577,0.0878203,0.0597685,0.0394561,0.0238316,0.0134174,0.00705697,0.00335784,0.00149405,0.000614366,0.000213722,7.12406e-05,1.76432e-05,2.95644e-06,8.5832e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,7.62951e-07,2.7657e-06,1.01091e-05,4.81613e-05,0.000206855,0.000689422,0.00214513,0.00580014,0.0131512,0.0268516,0.0482556,0.0773987,0.111941,0.14835,0.180517,0.21048,0.233786,0.254881,0.272517
64,0.216946,0.193478,0.160625,0.129495,0.0990314,0.0706683,0.0463184,0.0292546,0.0167571,0.00886816,0.00434405,0.00189994,0.000820649,0.000308614,9.15541e-05,2.327e-05,7.3434e-06,1.14443e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,5.8175e-06,1.75479e-05,9.3843e-05,0.000337797,0.00116979,0.00347419,0.00862012,0.0191283,0.0370707,0.0630338,0.0947476,0.130694,0.165492,0.197395,0.228313,0.253933,0.280544
56,0.210264,0.179097,0.145143,0.112187,0.0809314,0.0552236,0.0354442,0.0208445,0.0111649,0.00566205,0.0024793,0.00104973,0.000414282,0.00013819,4.01503e-05,1.00137e-05,2.00275e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,6.19898e-06,3.79568e-05,0.000154021,0.000578603,0.00191062,0.00539511,0.0128343,0.0263083,0.047945,0.0780327,0.11438,0.149269,0.185169,0.223822,0.256638,0.289466
48,0.201077,0.164959,0.127758,0.0944635,0.0645945,0.0425199,0.0258827,0.0142915,0.00727055,0.00328899,0.00142815,0.000576791,0.000198844,6.13222e-05,1.44007e-05,3.91012e-06,4.76844e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.19348e-06,1.47822e-05,7.04776e-05,0.00026875,0.000983349,0.00309234,0.00804103,0.0183534,0.0360304,0.0627057,0.0964204,0.133331,0.173336,0.217406,0.259073,0.29832
