SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:56:13
Date and Time Ended,2019-Sep-27 19:56:17
Scan Name,Scan Tx1-Rx1 Link 10
Link Settings,
Reset RX After Applying Settings,false
Open Area,1688
Horizontal Opening,19
Horizontal Percentage,29.23
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.239529,0.226045,0.212776,0.19951,0.185925,0.170878,0.154564,0.137263,0.118585,0.0980593,0.0792251,0.0605371,0.0441753,0.0304418,0.0202338,0.0130174,0.00810451,0.00462024,0.00261158,0.00146439,0.000813401,0.000441367,0.000265316,0.000145247,9.06958e-05,5.98917e-05,4.20577e-05,2.78477e-05,2.66079e-05,2.84199e-05,3.08042e-05,3.82429e-05,4.22484e-05,6.11315e-05,7.97284e-05,0.000115396,0.000184634,0.000247292,0.000418956,0.000639353,0.000989166,0.00154889,0.00239853,0.00359779,0.00513027,0.00740569,0.0103971,0.0144784,0.0191695,0.0253791,0.0332949,0.0421957,0.0531733,0.0659465,0.0803755,0.0957442,0.11188,0.130071,0.14987,0.169534,0.190686,0.211022,0.229851,0.245707,0.258582
112,0.237583,0.221522,0.206866,0.193296,0.178317,0.161703,0.145815,0.126496,0.106333,0.0865766,0.0680275,0.050686,0.036834,0.0243256,0.0157071,0.00966775,0.00585183,0.0032351,0.00177234,0.000965991,0.000504311,0.000274376,0.000147726,8.26848e-05,4.87335e-05,3.09949e-05,1.81201e-05,1.57359e-05,1.32563e-05,1.43053e-05,1.54498e-05,1.91691e-05,2.33654e-05,3.22347e-05,4.5491e-05,7.1622e-05,0.000100423,0.000154211,0.000261978,0.000410468,0.000668917,0.00108968,0.00174058,0.00265812,0.00393807,0.00585126,0.00836999,0.0117325,0.015996,0.0215746,0.0290719,0.0370104,0.0470635,0.0584216,0.0717578,0.0869995,0.103198,0.121397,0.139984,0.161512,0.183018,0.204286,0.226671,0.244242,0.261721
104,0.237308,0.219621,0.202368,0.186179,0.169674,0.153119,0.135582,0.116461,0.0950995,0.0768613,0.0588751,0.0423484,0.0296979,0.0193059,0.0120867,0.00709671,0.00416047,0.00227216,0.00117752,0.000616083,0.0003089,0.00015631,8.06821e-05,4.18669e-05,2.91829e-05,1.29702e-05,1.02998e-05,8.01099e-06,8.48783e-06,6.00824e-06,8.29709e-06,9.91836e-06,1.1635e-05,1.54498e-05,2.48913e-05,3.72892e-05,5.76028e-05,0.000100328,0.000162509,0.000265221,0.000467498,0.000777543,0.00122129,0.00195506,0.00300593,0.00447585,0.00664817,0.00961555,0.0132942,0.0183518,0.0247265,0.0324945,0.0415073,0.0519855,0.065326,0.0789654,0.0944635,0.112402,0.132042,0.152948,0.175942,0.199219,0.222002,0.243516,0.261889
96,0.236213,0.215576,0.198254,0.180517,0.162473,0.143165,0.123186,0.105159,0.0850839,0.0668397,0.0500848,0.0355612,0.0240952,0.0151069,0.00889223,0.00521916,0.00288329,0.00153382,0.000774491,0.000371462,0.000184062,8.62135e-05,4.63493e-05,2.18395e-05,1.21118e-05,8.48783e-06,3.71939e-06,3.0518e-06,2.95644e-06,3.24254e-06,2.7657e-06,3.81476e-06,4.76844e-06,9.44152e-06,1.20165e-05,1.99321e-05,2.90875e-05,5.58862e-05,9.65133e-05,0.000168612,0.000294118,0.000504978,0.000820935,0.00138848,0.0021809,0.00345073,0.0051977,0.00767489,0.010957,0.0153907,0.0211961,0.0276678,0.0365317,0.0463814,0.058505,0.0712337,0.086031,0.104037,0.123744,0.144528,0.170309,0.193114,0.217985,0.242363,0.263404
88,0.236077,0.212225,0.192388,0.173117,0.153176,0.134073,0.114476,0.0940514,0.0755847,0.0573019,0.0416338,0.0290739,0.0186807,0.0115917,0.00658627,0.00370193,0.00197662,0.000997177,0.000481613,0.000218776,0.000106622,5.02594e-05,2.20302e-05,1.05859e-05,5.14992e-06,3.71939e-06,2.86107e-06,2.28885e-06,1.5259e-06,1.43053e-06,1.04906e-06,1.90738e-06,3.33791e-06,3.81476e-06,6.48508e-06,1.01091e-05,1.7071e-05,3.28069e-05,6.03685e-05,9.64179e-05,0.000191119,0.00035172,0.000580701,0.00100233,0.00164406,0.00260996,0.0040094,0.00611677,0.00897877,0.0129181,0.0179536,0.0242206,0.0318354,0.041348,0.0524717,0.0652427,0.0792251,0.0968307,0.115216,0.137818,0.161067,0.187543,0.215462,0.240654,0.263235
80,0.236759,0.212005,0.188146,0.166029,0.145504,0.124195,0.10409,0.0848371,0.0655455,0.0495816,0.0345707,0.0231749,0.014567,0.00866994,0.0047858,0.00259298,0.00132534,0.000636969,0.000300984,0.00012932,5.5314e-05,2.51774e-05,1.09674e-05,6.19898e-06,3.0518e-06,1.5259e-06,9.53689e-07,7.62951e-07,1.2398e-06,2.86107e-07,8.5832e-07,9.53689e-07,9.53689e-07,2.38422e-06,1.90738e-06,5.62676e-06,9.53689e-06,1.59266e-05,3.18532e-05,5.59815e-05,0.000110723,0.000216773,0.000366121,0.000697814,0.00118648,0.00191768,0.00304608,0.00475471,0.0071995,0.0105693,0.0149738,0.0204184,0.0275746,0.0364667,0.046704,0.0586474,0.0722642,0.0885417,0.108473,0.129988,0.154505,0.182366,0.210805,0.237308,0.264766
72,0.237033,0.209404,0.183345,0.15888,0.13754,0.115967,0.0948793,0.0745258,0.0564256,0.0412066,0.028563,0.0181228,0.0112131,0.00648112,0.00341955,0.00180581,0.000879301,0.00040465,0.000178149,7.2385e-05,3.08995e-05,1.48775e-05,4.57771e-06,2.7657e-06,1.33516e-06,8.5832e-07,5.72213e-07,5.72213e-07,9.53689e-08,4.76844e-07,3.81476e-07,2.86107e-07,4.76844e-07,7.62951e-07,1.14443e-06,1.81201e-06,3.81476e-06,7.62951e-06,1.57359e-05,3.10903e-05,6.97147e-05,0.000124361,0.000243095,0.000462348,0.00082475,0.00138952,0.00231489,0.00373894,0.00567025,0.00850115,0.012392,0.017528,0.0238719,0.0319695,0.0418679,0.0531388,0.0664925,0.0816412,0.101788,0.123334,0.148997,0.177467,0.20697,0.235263,0.263404
64,0.236213,0.207389,0.180756,0.154914,0.129128,0.106195,0.0846968,0.0665465,0.0491414,0.0339461,0.0228504,0.014348,0.0086069,0.00471141,0.00238499,0.00120441,0.000550088,0.000238613,0.000108053,4.11994e-05,1.7834e-05,5.24529e-06,2.57496e-06,6.67582e-07,5.72213e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,1.90738e-07,3.81476e-07,8.5832e-07,1.04906e-06,1.71664e-06,4.38697e-06,7.62951e-06,1.81201e-05,3.77661e-05,7.44831e-05,0.000149443,0.000294213,0.000556477,0.000976005,0.00168736,0.00278801,0.00442855,0.00680739,0.010193,0.0148023,0.0206469,0.0281006,0.0373104,0.0481309,0.0612339,0.0768613,0.0952101,0.11623,0.142517,0.17102,0.202169,0.233121,0.264766
56,0.237859,0.206866,0.176701,0.14835,0.122633,0.0981533,0.0771799,0.0584299,0.0417825,0.0282908,0.0186247,0.0111597,0.00644451,0.00335832,0.00169976,0.000780213,0.000339895,0.000143053,6.24666e-05,2.18395e-05,8.10636e-06,3.14717e-06,1.14443e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.86107e-07,2.86107e-07,5.72213e-07,1.81201e-06,3.71939e-06,9.63226e-06,1.95506e-05,4.34882e-05,9.1268e-05,0.000195697,0.000376135,0.000682364,0.00123865,0.00208057,0.00346189,0.00546225,0.00838061,0.0125048,0.0177267,0.0245781,0.0336809,0.0440992,0.056699,0.0712585,0.0898232,0.111484,0.136851,0.168073,0.198639,0.230627,0.264084
48,0.237998,0.206033,0.174221,0.143818,0.116098,0.0912032,0.0688972,0.0510524,0.0353159,0.0237116,0.0147729,0.00851918,0.00471084,0.00241388,0.00114071,0.000517758,0.000210384,8.93606e-05,3.16625e-05,1.15396e-05,2.7657e-06,2.19348e-06,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,7.62951e-07,8.5832e-07,2.19348e-06,3.0518e-06,1.03952e-05,2.75616e-05,5.68399e-05,0.000122454,0.000236419,0.000474842,0.000877489,0.0015116,0.002607,0.00425669,0.00676657,0.0104539,0.0150337,0.021611,0.0302484,0.0404697,0.0525659,0.0672126,0.0858867,0.106637,0.132212,0.162925,0.194859,0.227805,0.261889
