SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:54
Date and Time Ended,2019-Sep-27 19:57:58
Scan Name,Scan Tx3-Rx3 Link 10
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.50042,0.501953,0.497986,0.49708,0.497684,0.499809,0.498289,0.499505,0.498289,0.499505,0.501646,0.50042,0.502261,0.496477,0.500114,0.4992,0.498289,0.499809,0.49708,0.498896,0.49708,0.501646,0.501339,0.499809,0.499809,0.500114,0.497382,0.499505,0.499809,0.499505,0.499505,0.500114,0.500114,0.501339,0.501646,0.503805,0.499809,0.498289,0.498593,0.501339,0.501339,0.50042,0.501032,0.50042,0.50042,0.500114,0.498593,0.497382,0.501032,0.498593,0.500114,0.500726,0.50042,0.504115,0.501339,0.501032,0.501953,0.501953,0.498593,0.500114,0.497986,0.501953,0.497382,0.498896,0.497382
112,0.501339,0.497986,0.499505,0.4992,0.500726,0.499809,0.497382,0.498896,0.497382,0.497382,0.497986,0.497684,0.501032,0.4992,0.499809,0.4992,0.502261,0.499505,0.501032,0.505671,0.49708,0.499809,0.499505,0.502261,0.499809,0.501646,0.498593,0.4992,0.4992,0.498896,0.501953,0.497986,0.504115,0.498289,0.500114,0.4992,0.50042,0.499809,0.497986,0.50042,0.498593,0.49708,0.502261,0.498289,0.4992,0.498289,0.500114,0.499505,0.501646,0.500726,0.498896,0.4992,0.497684,0.498593,0.497684,0.498289,0.499809,0.500726,0.498593,0.50042,0.497986,0.498896,0.499505,0.497382,0.498593
104,0.50042,0.500114,0.500114,0.498593,0.500114,0.4992,0.497382,0.499505,0.499809,0.498289,0.499809,0.499809,0.498289,0.498593,0.498896,0.501339,0.499809,0.50042,0.498593,0.50042,0.501646,0.498593,0.498896,0.497684,0.50042,0.501032,0.497684,0.499505,0.499505,0.497986,0.498896,0.498896,0.500114,0.498289,0.498896,0.501032,0.499809,0.4992,0.499505,0.497986,0.500114,0.501339,0.4992,0.50042,0.498896,0.498896,0.500726,0.501032,0.499809,0.4992,0.501032,0.500114,0.497382,0.501032,0.497382,0.499809,0.497986,0.498593,0.500726,0.4992,0.497684,0.500726,0.500726,0.499809,0.499505
96,0.485301,0.484153,0.483011,0.484153,0.482159,0.482159,0.485013,0.483296,0.483582,0.482443,0.483582,0.485013,0.483296,0.483867,0.485588,0.485876,0.488193,0.485876,0.488775,0.488775,0.488193,0.488775,0.490825,0.490531,0.487902,0.488775,0.491414,0.49112,0.489067,0.489652,0.490238,0.491709,0.489359,0.488484,0.489652,0.489359,0.488484,0.488484,0.488193,0.487612,0.487612,0.485876,0.48444,0.484153,0.484726,0.485301,0.482727,0.483867,0.483296,0.483582,0.486742,0.483867,0.483582,0.484726,0.484726,0.484153,0.483867,0.488775,0.488775,0.486742,0.488484,0.489652,0.489067,0.488193,0.4923
88,0.422262,0.422262,0.423353,0.422044,0.418808,0.423353,0.42423,0.423353,0.425331,0.42423,0.420527,0.42467,0.425331,0.42423,0.42867,0.431378,0.431151,0.432289,0.432746,0.434813,0.427105,0.432289,0.430472,0.427998,0.428445,0.42666,0.427551,0.427328,0.425773,0.426216,0.423791,0.42401,0.42423,0.421393,0.426438,0.420743,0.422697,0.419451,0.417314,0.417527,0.419451,0.423353,0.420527,0.420312,0.417527,0.419666,0.41838,0.42161,0.42161,0.42161,0.422697,0.41838,0.42161,0.422697,0.419666,0.422916,0.423353,0.427328,0.427774,0.428445,0.427551,0.428894,0.432974,0.435738,0.436667
80,0.35008,0.35008,0.352187,0.352187,0.35038,0.351583,0.35325,0.351131,0.353098,0.353403,0.354014,0.35555,0.355396,0.35432,0.355859,0.356789,0.352946,0.35325,0.35325,0.349632,0.344052,0.339208,0.339208,0.331119,0.322134,0.320873,0.31987,0.310651,0.300951,0.302842,0.295203,0.295522,0.29163,0.291215,0.288446,0.290183,0.286329,0.288853,0.294248,0.285929,0.289261,0.29952,0.30273,0.30374,0.303403,0.310416,0.313625,0.322008,0.321628,0.327413,0.330584,0.332597,0.33587,0.337809,0.341898,0.342184,0.346819,0.346087,0.349036,0.352642,0.353403,0.352946,0.358036,0.357412,0.361672
72,0.299959,0.30084,0.300619,0.301061,0.300509,0.301727,0.301615,0.30206,0.302842,0.29963,0.300619,0.299411,0.29767,0.296592,0.292567,0.291008,0.289159,0.279873,0.274067,0.26332,0.253618,0.244826,0.234321,0.222969,0.20903,0.19749,0.186476,0.181517,0.173741,0.16742,0.163739,0.159344,0.153205,0.150254,0.154156,0.156065,0.154885,0.1579,0.161607,0.165827,0.172062,0.174928,0.180478,0.1875,0.195091,0.205774,0.214616,0.224928,0.2294,0.243154,0.25504,0.259073,0.269825,0.276566,0.279777,0.283947,0.290286,0.293405,0.295309,0.297238,0.299083,0.29952,0.301949,0.302395,0.305553
64,0.272427,0.271524,0.271704,0.272155,0.270895,0.271884,0.269825,0.269825,0.269381,0.267272,0.264254,0.261137,0.255996,0.24854,0.242077,0.230757,0.221402,0.208127,0.195978,0.177659,0.162828,0.148484,0.134249,0.121523,0.108015,0.0997428,0.0917446,0.0844436,0.0786772,0.0756196,0.0731744,0.0727843,0.0705284,0.0677126,0.0704314,0.0725394,0.0739806,0.0766455,0.0797651,0.0836589,0.0910816,0.096409,0.101435,0.109036,0.115819,0.127699,0.132705,0.146808,0.157294,0.168905,0.185085,0.193068,0.208657,0.220212,0.231802,0.240301,0.250057,0.255517,0.26006,0.263829,0.268234,0.269825,0.269558,0.272246,0.273518
56,0.257363,0.258337,0.258012,0.257363,0.255278,0.255756,0.252058,0.249296,0.246224,0.239319,0.23352,0.224251,0.213775,0.201176,0.18601,0.169815,0.154215,0.138283,0.121812,0.103017,0.0876418,0.0744378,0.0643863,0.0539863,0.0460063,0.0401917,0.0356076,0.0325281,0.0302105,0.0288355,0.0274334,0.0279338,0.0266749,0.0272101,0.0284638,0.0290987,0.0300553,0.0322362,0.035101,0.0370288,0.0409144,0.043426,0.0476216,0.0538833,0.0590065,0.0663041,0.0733447,0.0824713,0.0931212,0.105511,0.120522,0.133071,0.14976,0.164495,0.179765,0.195184,0.208233,0.221163,0.231017,0.239599,0.243878,0.249905,0.25307,0.255597,0.257363
48,0.256718,0.254327,0.25268,0.2496,0.24719,0.244096,0.239249,0.231344,0.222545,0.211294,0.198543,0.184087,0.168557,0.148162,0.131702,0.111957,0.0950113,0.0787983,0.0656453,0.0520086,0.041417,0.0337322,0.0272527,0.0217038,0.0174295,0.0144664,0.0129346,0.0113205,0.0103035,0.0100614,0.00942664,0.00960594,0.00917201,0.00958457,0.00981498,0.0106214,0.0111479,0.0124779,0.0132409,0.0145038,0.0166167,0.01802,0.0204505,0.0238018,0.0271021,0.0313409,0.036748,0.043449,0.0507394,0.0604522,0.0720355,0.0820829,0.0960698,0.112634,0.131301,0.148377,0.165159,0.182773,0.197728,0.212776,0.223883,0.231867,0.238136,0.244024,0.247489
