SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:13
Date and Time Ended,2019-Sep-27 19:59:17
Scan Name,Scan Tx5-Rx5 Link 5 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3128
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,97
Vertical Percentage,41.94
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.501646,0.499809,0.500726,0.501339,0.499809,0.497986,0.497986,0.498593,0.497986,0.499505,0.50042,0.501032,0.50042,0.501646,0.497684,0.500114,0.498896,0.497986,0.498289,0.497684,0.501032,0.4992,0.497684,0.499505,0.500114,0.500114,0.50042,0.497684,0.500114,0.497986,0.498593,0.499505,0.498593,0.498896,0.498289,0.4992,0.498593,0.4992,0.502261,0.497986,0.501032,0.499505,0.498289,0.497986,0.502569,0.497684,0.497684,0.498289,0.499505,0.500114,0.502261,0.4992,0.498593,0.496177,0.499505,0.498896,0.501953,0.497986,0.502569,0.498289,0.499809,0.4992,0.500726,0.498593,0.497986
112,0.498593,0.498593,0.499505,0.501953,0.50042,0.501646,0.496477,0.501953,0.501032,0.499505,0.497986,0.500114,0.504737,0.498289,0.4992,0.497684,0.4992,0.497382,0.498896,0.498896,0.500726,0.498593,0.498896,0.498593,0.501646,0.500726,0.500114,0.498593,0.500114,0.501953,0.502261,0.500726,0.500114,0.497986,0.504115,0.4992,0.499505,0.498896,0.503186,0.498593,0.501953,0.498289,0.498593,0.502878,0.497986,0.4992,0.499505,0.497986,0.501953,0.50042,0.501032,0.502878,0.500114,0.497382,0.499809,0.497986,0.500726,0.50042,0.499809,0.499505,0.498289,0.4992,0.497684,0.498593,0.497382
104,0.492596,0.49112,0.490825,0.489652,0.491414,0.489652,0.493784,0.488775,0.492596,0.488193,0.492893,0.49708,0.494678,0.493486,0.495576,0.498289,0.497382,0.4992,0.49708,0.500114,0.501032,0.497986,0.498896,0.501339,0.4992,0.498593,0.499809,0.499505,0.499809,0.498289,0.500726,0.499505,0.498289,0.501646,0.499505,0.502261,0.500114,0.501953,0.4992,0.497986,0.499809,0.501032,0.497684,0.500114,0.500114,0.497986,0.4992,0.497382,0.497684,0.497382,0.499505,0.498593,0.4992,0.498289,0.4992,0.499809,0.495876,0.500726,0.498289,0.501032,0.501032,0.498593,0.498289,0.501032,0.497986
96,0.29627,0.294354,0.288955,0.289057,0.291318,0.290492,0.295522,0.290698,0.296592,0.298212,0.300179,0.304418,0.302172,0.304304,0.308429,0.313145,0.312071,0.319371,0.318998,0.310298,0.322515,0.329653,0.331253,0.33341,0.332462,0.33656,0.347408,0.355396,0.35432,0.356789,0.36834,0.371514,0.382619,0.388241,0.391768,0.38714,0.389163,0.372866,0.367678,0.359293,0.34859,0.353403,0.342327,0.33587,0.334362,0.333817,0.328069,0.324302,0.321376,0.325074,0.323534,0.317638,0.32125,0.32611,0.322642,0.322896,0.324559,0.327675,0.333817,0.330318,0.338927,0.330184,0.34247,0.346966,0.351885
88,0.250593,0.249905,0.249448,0.249676,0.250134,0.250134,0.25021,0.249676,0.25021,0.249069,0.248993,0.250057,0.249296,0.249905,0.249524,0.249448,0.250057,0.250363,0.249448,0.248013,0.246076,0.24115,0.231148,0.218625,0.200978,0.183798,0.166096,0.145893,0.131893,0.112774,0.0947585,0.0855906,0.0787302,0.0778325,0.0754872,0.0759491,0.0783911,0.0867416,0.0962731,0.111834,0.134558,0.162441,0.186264,0.207968,0.225983,0.24115,0.247115,0.248465,0.25021,0.250286,0.248314,0.249828,0.249752,0.249524,0.250057,0.249905,0.250057,0.249981,0.2496,0.249981,0.250669,0.250286,0.250439,0.250057,0.249752
80,0.24922,0.249905,0.249145,0.250593,0.249145,0.250057,0.250363,0.249905,0.249905,0.249676,0.249752,0.250669,0.249448,0.249296,0.249448,0.247115,0.243082,0.237652,0.226545,0.209887,0.187844,0.164002,0.134979,0.112541,0.0865674,0.0652219,0.0516024,0.0378238,0.0287929,0.0223975,0.0165985,0.0140691,0.0117321,0.0100776,0.00920348,0.00857462,0.00824674,0.00871557,0.00926928,0.0105894,0.0132253,0.0194526,0.0264955,0.03913,0.0636955,0.0951769,0.135897,0.177313,0.213608,0.234994,0.246224,0.248993,0.249676,0.249069,0.249828,0.249372,0.2496,0.249524,0.250134,0.249145,0.249448,0.249145,0.249905,0.249905,0.250286
72,0.249828,0.25021,0.249448,0.250593,0.2496,0.24922,0.250134,0.248239,0.249905,0.250134,0.250134,0.248842,0.246002,0.241292,0.233786,0.221223,0.19835,0.174965,0.146179,0.115901,0.0916625,0.0667308,0.0473847,0.0331977,0.0218206,0.0140689,0.00961967,0.00622244,0.00429351,0.00290627,0.00204852,0.00151427,0.0011738,0.000909056,0.000729763,0.000658236,0.000525292,0.000509842,0.000583848,0.000627146,0.000759518,0.00113317,0.00161135,0.00250534,0.00490043,0.00929274,0.0197314,0.0381514,0.0703165,0.11838,0.171271,0.214841,0.236623,0.245486,0.249524,0.248842,0.249905,0.249524,0.249981,0.248239,0.25021,0.249676,0.25021,0.249981,0.250593
64,0.249296,0.249296,0.249905,0.250363,0.2496,0.250516,0.250057,0.249981,0.249145,0.247339,0.243951,0.235466,0.221882,0.199461,0.1782,0.148943,0.115983,0.0878203,0.0624,0.0439549,0.0299838,0.0185647,0.0110639,0.00696918,0.00390364,0.0020964,0.00131704,0.000714504,0.000406462,0.000238613,0.00014992,8.92653e-05,6.88563e-05,4.00549e-05,3.18532e-05,2.6894e-05,1.62127e-05,1.5259e-05,1.75479e-05,2.09812e-05,2.55589e-05,3.4905e-05,4.94011e-05,8.20172e-05,0.000174907,0.000375372,0.000954643,0.0024794,0.00708572,0.0191852,0.0475387,0.0919609,0.151561,0.200634,0.231671,0.244826,0.2496,0.249524,0.248691,0.249676,0.248615,0.249981,0.249905,0.2496,0.24854
56,0.249981,0.249905,0.250057,0.2496,0.248918,0.250134,0.24922,0.246224,0.240301,0.227615,0.213775,0.188016,0.158175,0.123353,0.0979889,0.0705831,0.0470581,0.0322794,0.0197886,0.0116047,0.00666266,0.00355955,0.00188964,0.000940528,0.00041371,0.000195125,0.000104143,4.95918e-05,2.09812e-05,1.27794e-05,5.34066e-06,3.62402e-06,1.33516e-06,9.53689e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,1.90738e-07,5.72213e-07,1.5259e-06,4.57771e-06,7.0573e-06,1.77386e-05,6.80934e-05,0.000265888,0.00122168,0.00472915,0.0153039,0.0431856,0.0913558,0.14987,0.202069,0.231017,0.244242,0.249372,0.250134,0.249676,0.24922,0.249981,0.249676,0.250134
48,0.25021,0.249372,0.249752,0.249296,0.248993,0.246298,0.240796,0.227552,0.206709,0.178356,0.148028,0.113839,0.0849515,0.0575879,0.0400522,0.0247302,0.01462,0.00851892,0.00437629,0.00221389,0.0011099,0.00048085,0.000200275,8.27802e-05,3.08995e-05,9.91836e-06,4.95918e-06,1.90738e-06,1.14443e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,5.91287e-06,2.53681e-05,0.000207523,0.00102579,0.00541924,0.0200722,0.055179,0.10766,0.167284,0.20887,0.235737,0.246446,0.248918,0.248993,0.249828,0.249981,0.249296
40,0.25021,0.248993,0.2496,0.247638,0.240372,0.230368,0.208657,0.179371,0.141802,0.106333,0.0786395,0.0531147,0.0337642,0.0203813,0.011972,0.00649424,0.00338273,0.00165808,0.000701724,0.000310903,0.000127413,3.71939e-05,1.6022e-05,5.5314e-06,2.09812e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,3.24254e-06,3.33791e-05,0.000294118,0.00202564,0.0098455,0.031425,0.0731287,0.129271,0.184876,0.220449,0.238691,0.246818,0.24854,0.249524,0.249752
32,0.250057,0.248465,0.243878,0.233387,0.214616,0.187328,0.152691,0.111819,0.0788438,0.0510461,0.0331387,0.0197456,0.0105613,0.00562524,0.00268006,0.00123941,0.000595674,0.000210765,6.42786e-05,2.55589e-05,1.10628e-05,1.90738e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.90738e-07,7.24804e-06,8.9456e-05,0.00089704,0.00481842,0.0187909,0.0499992,0.102296,0.159623,0.201324,0.2294,0.242794,0.248314,0.249905
24,0.252446,0.241363,0.225423,0.197967,0.16325,0.123465,0.0899218,0.0552348,0.03382,0.0187183,0.0106867,0.00548619,0.00253452,0.00113813,0.000464446,0.000174334,5.72213e-05,1.98367e-05,4.76844e-06,1.33516e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.28885e-06,4.52049e-05,0.000367361,0.00272908,0.0116413,0.0365692,0.0794325,0.134029,0.184087,0.218334,0.237998,0.248013
16,0.254802,0.221223,0.181196,0.137263,0.0978018,0.063385,0.0392858,0.0205557,0.0104671,0.00502861,0.0024855,0.00100481,0.000392538,0.000141718,4.61585e-05,1.37331e-05,2.47959e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.33516e-06,1.48775e-05,0.000193599,0.00138743,0.00715248,0.0251524,0.0590789,0.110567,0.161831,0.206918,0.24301
8,0.258582,0.190819,0.13147,0.083124,0.0469206,0.0254217,0.0135235,0.00576162,0.00237945,0.000936141,0.000402075,0.000124743,3.71939e-05,1.10628e-05,2.67033e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,4.76844e-06,7.64858e-05,0.000797475,0.00480888,0.0169467,0.0474396,0.0983655,0.160909,0.237239
0,0.263913,0.174965,0.102991,0.055246,0.0270502,0.0122932,0.00532235,0.00203002,0.000680934,0.000213817,7.03822e-05,1.46868e-05,3.43328e-06,3.81476e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,8.77394e-06,0.00012398,0.00107271,0.00587987,0.023326,0.0650459,0.135157,0.229079
-8,0.261889,0.18806,0.119659,0.0720799,0.0395705,0.0202709,0.0100248,0.00466258,0.00187915,0.000681888,0.000297742,9.23171e-05,2.57496e-05,4.95918e-06,1.71664e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-07,1.20165e-05,0.000133516,0.000906577,0.0044791,0.0156369,0.0420527,0.087623,0.152464,0.234724
-16,0.256638,0.217811,0.171954,0.129434,0.0852432,0.0546672,0.0327138,0.018122,0.00850271,0.00395075,0.00188487,0.000821889,0.000305753,9.84207e-05,3.33791e-05,8.96468e-06,1.5259e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.24254e-06,3.45235e-05,0.000266842,0.00176127,0.00733043,0.0240739,0.0553468,0.102271,0.152976,0.198784,0.238413
-24,0.252524,0.240584,0.220449,0.192207,0.150669,0.115119,0.0779807,0.0501799,0.0292546,0.0152285,0.00849908,0.00432078,0.00193923,0.000755131,0.000332265,0.000129892,4.34882e-05,1.22072e-05,3.62402e-06,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,6.48508e-06,8.03006e-05,0.000660143,0.00324216,0.0119028,0.0343778,0.0749554,0.126223,0.176892,0.213164,0.236077,0.246446
-32,0.250593,0.248766,0.243588,0.230562,0.211895,0.181477,0.143692,0.107987,0.0717704,0.0464234,0.0295181,0.0170913,0.00886778,0.00420119,0.00226711,0.00102293,0.000435073,0.000174716,6.2562e-05,2.28885e-05,5.5314e-06,2.28885e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,2.00275e-05,0.000213436,0.00144179,0.00682593,0.0210383,0.0520119,0.0994039,0.156963,0.20029,0.229272,0.242866,0.247563,0.249372
-40,0.250363,0.249752,0.24854,0.248088,0.240301,0.229915,0.209136,0.180239,0.139626,0.105159,0.0770782,0.0504271,0.0312369,0.0182752,0.0106762,0.00571965,0.00289387,0.00146468,0.000651179,0.00027409,0.000102998,3.66217e-05,1.27794e-05,3.0518e-06,9.53689e-07,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.14443e-06,8.39246e-06,8.35431e-05,0.000587091,0.0033854,0.0130669,0.0377454,0.0786772,0.134381,0.184668,0.221882,0.239529,0.246818,0.248842,0.250363,0.249828
-48,0.250134,0.250439,0.249752,0.250134,0.249296,0.247563,0.240867,0.229786,0.207968,0.179568,0.148619,0.114428,0.0808276,0.0560128,0.0373002,0.0229182,0.0135439,0.00769532,0.0042195,0.0022055,0.00107443,0.000474556,0.000176242,6.84749e-05,2.44144e-05,1.12535e-05,3.0518e-06,1.33516e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,1.71664e-06,1.41146e-05,8.88838e-05,0.000457961,0.00220073,0.00848459,0.0274582,0.0652531,0.117429,0.172861,0.214953,0.236691,0.245855,0.24922,0.24922,0.249448,0.249676,0.249752
